id,tier,legendary,background,body,eyes,mouth,headwear,neck,bling,rarity_score
941,Rare,,Charcoal,Gilded,Classic,None,Sailor Cap,None,Gold Watch,92.77
942,Common,,Mauve,Classic Navy,Abyss Glow,None,None,Diamond Chain,,48.33
943,Common,,Slate,Classic Navy,Classic,Cigar,Crown,Cuban Chain,,43.41
944,Common,,Maroon,Arctic,Classic,Gold Tooth,None,Cuban Chain,,32.2
945,Common,,Slate,Deep Sea,Classic,Gold Tooth,None,Cuban Chain,,28.03
946,Common,,Slate,Classic Navy,Abyss Glow,Punk Cigarette,Beanie,None,Gold Watch,44.55
947,Uncommon,,Sage,Midnight Black,Sleepy,None,Captain's Hat,Silver Chain,,58.49
948,Rare,,Gold Dust,Gilded,Shades,Gold Tooth,Crown,None,Gold Watch,143.33
949,Uncommon,,Slate,Deep Sea,Gold Monocle,Bubble Pipe,Sailor Cap,Silver Chain,,53.35
950,Common,,Mauve,Classic Navy,Sleepy,Punk Cigarette,Captain's Hat,None,,33.53
951,Common,,Sage,Classic Navy,Gold Monocle,None,Sailor Cap,None,,27.7
952,Common,,Mauve,Arctic,Classic,Cigar,None,None,,27.2
953,Common,,Maroon,Classic Navy,Classic,None,Halo,Diamond Chain,,48.15
954,Uncommon,,Mauve,Classic Navy,Classic,Diamond Grill,None,Pearl String,,57.1
955,Common,,Charcoal,Arctic,Classic,Cigar,None,None,,26.01
956,Uncommon,,Gold Dust,Arctic,Shades,None,Beanie,None,,54.17
957,Common,,Maroon,Classic Navy,Classic,Gold Tooth,Halo,None,Gold Watch,41.48
958,Common,,Sand,Ocean Blue,Classic,Cigar,None,None,,23.86
959,Uncommon,,Sand,Ocean Blue,Classic,None,Captain's Hat,Diamond Chain,Emerald Stud,62.01
960,Common,,Maroon,Arctic,Sleepy,Gold Tooth,Captain's Hat,Cuban Chain,,46.4
961,Common,,Charcoal,Classic Navy,Sleepy,Cigar,None,Cuban Chain,,27.52
962,Common,,Sage,Ocean Blue,Sleepy,Bubble Pipe,None,None,,31.39
963,Common,,Charcoal,Arctic,Classic,Gold Tooth,Kelp Wrap,Cuban Chain,,47.29
964,Common,,Maroon,Classic Navy,Classic,Cigar,Sailor Cap,None,,20.55
965,Uncommon,,Slate,Ocean Blue,Abyss Glow,None,Crown,Silver Chain,,55.38
966,Uncommon,,Sand,Ocean Blue,Classic,Diamond Grill,None,Silver Chain,,60.98
967,Uncommon,,Mauve,Steel,Gold Monocle,None,Halo,Silver Chain,,50.12
968,Common,,Slate,Deep Sea,Classic,Punk Cigarette,None,Cuban Chain,,26.36
969,Common,,Slate,Classic Navy,Classic,None,None,None,,8.86
970,Common,,Charcoal,Classic Navy,Sleepy,Cigar,Captain's Hat,Cuban Chain,,35.21
971,Uncommon,,Slate,Classic Navy,Classic,Diamond Grill,Halo,None,,56.48
972,Rare,,Charcoal,Midnight Black,Classic,Gold Tooth,Captain's Hat,Cuban Chain,Diamond Spout,75.22
973,Uncommon,,Sand,Classic Navy,Laser,Punk Cigarette,Beanie,None,,50.0
974,Uncommon,,Mauve,Ocean Blue,Shades,None,None,Cuban Chain,Gold Watch|Pinky Ring,53.33
975,Common,,Mauve,Classic Navy,Classic,None,Captain's Hat,None,,20.34
976,Common,,Mauve,Ocean Blue,Shades,None,None,None,,21.67
977,Uncommon,,Sand,Arctic,Classic,Cigar,None,Cuban Chain,Coin Spout,69.7
978,Common,,Mauve,Ocean Blue,Gold Monocle,Gold Tooth,None,None,,34.17
979,Common,,Slate,Deep Sea,Classic,None,None,Silver Chain,,23.03
980,Common,,Sage,Classic Navy,Sleepy,None,Kelp Wrap,None,,28.89
981,Uncommon,,Charcoal,Classic Navy,Sleepy,Cigar,Halo,None,Pinky Ring,53.47
982,Common,,Slate,Ocean Blue,Gold Monocle,None,Beanie,Silver Chain,,38.71
983,Common,,Sage,Classic Navy,Classic,Cigar,Sailor Cap,Silver Chain,,29.9
984,Common,,Maroon,Ocean Blue,Classic,None,None,Diamond Chain,,36.36
985,Uncommon,,Sand,Steel,Laser,Punk Cigarette,None,Silver Chain,,54.17
986,Common,,Charcoal,Classic Navy,Gold Monocle,None,Kelp Wrap,Pearl String,,45.75
987,Common,,Maroon,Classic Navy,Shades,Cigar,Captain's Hat,Silver Chain,Emerald Stud,45.95
988,Rare,,Gold Dust,Ocean Blue,Sleepy,None,Halo,Cuban Chain,Diamond Spout,74.29
989,Common,,Maroon,Deep Sea,Classic,Bubble Pipe,None,None,Emerald Stud,37.2
990,Common,,Slate,Ocean Blue,Classic,Bubble Pipe,Beanie,None,,32.2
991,Uncommon,,Slate,Ocean Blue,Classic,Punk Cigarette,Captain's Hat,Pearl String,Diamond Spout,53.5
992,Common,,Slate,Arctic,Classic,Cigar,Halo,None,,37.69
993,Common,,Maroon,Ocean Blue,Classic,None,Sailor Cap,Pearl String,,29.62
994,Common,,Maroon,Ocean Blue,Abyss Glow,None,None,Pearl String,,33.16
995,Common,,Charcoal,Deep Sea,Classic,None,Sailor Cap,None,,24.44
996,Common,,Maroon,Steel,Sleepy,None,Captain's Hat,None,Diamond Spout,43.9
997,Uncommon,,Maroon,Ocean Blue,Gold Monocle,Gold Tooth,Beanie,None,Pinky Ring|Diamond Spout,72.05
998,Common,,Sage,Classic Navy,Sleepy,Punk Cigarette,None,None,,23.06
999,Common,,Sand,Steel,Classic,Cigar,None,Cuban Chain,,30.53
1000,Uncommon,,Maroon,Midnight Black,Shades,None,Halo,None,,55.74
